Items,Labor price,,Description,,,
,,,,,,
R&R/Add door handles,5,piece,any type,,,
R&R/Add blind (Horizontal),5,piece,any size,,,
R&R/Add blind (Vertical),15,piece,Typically sliding/french doors,,,
Drop locks (sliding door safety bar),5,piece,GC,,,
R&R/Add door slab,30,piece,"interior, any size",,,
R&R/Add Pre-hung,40,piece,"interior, any size",,,
R&R/Add bi-fold & knob,35,piece,GC,,,
Add sliding doors (Closet),40,piece,GC,,,
R&R Ext Sliding door,300,piece,Material 350-by Window Installer,,,
R&R Ext Sliding door/frame down ,250,piece,GC,,,
R&R Exterior door,100,piece,GC,,,
Paint Exterior door/deadbolt/passage,35,piece,GC,,,
R&R Exterior door/DB/Pass/Paint,135,piece,GC,,,
R&R storm door/frame,25,piece,GC,,,
Add storm door,20,piece,GC,,,
Remove existing storm door,10,piece,GC,,,
Paint shutters (match doors),15,piece,"GC, price per pair",,,
R&R mailbox,5,piece,GC,,,
R&R/Add house numbers,5,piece,"Call out color, and location, to be seen from street",,,
Smoke Detector/Carbon Detector,5,piece,,,,
Remove fireplace insert,25,piece,,,,
Board & Paint FR opening,25,piece,,,,
,,,,,,
GENERAL ITEMS,,,,,,
General items,125,job,"Add to every house for general items, including trimming blinds, door stops etc. ",,,
Cut ALL blinds to length,30,job,Depending on quantity/for ALL,,,
ALL doors must function/have stops,10,job,If doors need excessive modification/call that out in the applicable room w/ amount,,,
,,,,,,
FLOORING,,,,,,
carpet stairs,200,job,For budgeting purposes,,,
Remove carpet/pad, $12.50 , room ,per room/area,,,
Add carpet,1.65,,For budgeting purposes,,,
Clean Carpet,$140 ,job,Whole house regardless of how many areas,,,
Add VCT ,$1.00 ,square foot,"per sq ft--labor (thicker for kitchens & baths, but not currently using)",,,
Add LVT (luxury vinyl tile),$1.00 ,square foot,per sq ft--labor $1.50 for materials,,,
Removing existing,1,square foot,per sq ft,,,
Refinish wood floors-sand/stain/poly,2.25,square foot,per sq ft  (labor and materials)  Vendor-{Approx. $1.75--labor-.50--materials,,,
Screan and poly hardwood ,1.25,,labor and materials,,,
Add Luan underlayment,,piece,$15 per sheet 32 sq ft per piece for materials - half the total for labor (list under flooring),,,
,,,,,,
PAINTING,,,,,,
Interior paint,$1 ,square foot,$1 per sq ft of living space--for budget purposes/ actual  pays .80 per sq ft Then budget $.80 per sq ft for materials.,,,
Interior prime,$1 ,square foot,"add half the cost of the paint for priming first, both labor and materials",,,
Basement walls,150,job, ,,,
Basement floors,150,job,"depending on size, if any scraping…etc",,,
Kitchen Cabs (White),200,job,Depending on quantity/ may need to adjust for priming/pre-cleaning,,,
Vanity Cab (white),40,piece,Depending on quantity/ may need to adjust for priming/pre-cleaning,,,
Paint Exterior door/deadbolt/passage,35,piece,GC,,,
Paint exterior walls,0.75,square foot,budget $.70 per sq ft for labor and then 40% of labor for materials ,,,
Paint shutters (match doors),15,piece,"GC, price per pair",,,
Paint floor registers,25,piece,,,,
"Paint Wall, ceiling registers",10,piece,,,,
